channel_name,post_id,post_datetime,current_views,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Noukash,17538,2025-01-17 01:05:26,7658,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),7583.0 (99.02%),75.0 (0.98%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Время Валеры,17324,2025-01-16 22:47:30,15561,9557.0 (61.42%),1111.0 (7.14%),820.0 (5.27%),297.0 (1.91%),476.0 (3.06%),258.0 (1.66%),1633.0 (10.49%),401.0 (2.58%),205.0 (1.32%),273.0 (1.75%),335.0 (2.15%),101.0 (0.65%),79.0 (0.51%),15.0 (0.1%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Инжиниринг Данных,17323,2025-01-16 20:25:38,8796,3955.0 (44.96%),675.0 (7.67%),158.0 (1.8%),293.0 (3.33%),183.0 (2.08%),1490.0 (16.94%),454.0 (5.16%),365.0 (4.15%),166.0 (1.89%),70.0 (0.8%),162.0 (1.84%),648.0 (7.37%),126.0 (1.43%),51.0 (0.58%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Simulative,17317,2025-01-16 18:51:01,1976,895.0 (45.29%),130.0 (6.58%),36.0 (1.82%),122.0 (6.17%),169.0 (8.55%),136.0 (6.88%),44.0 (2.23%),101.0 (5.11%),53.0 (2.68%),56.0 (2.83%),44.0 (2.23%),32.0 (1.62%),109.0 (5.52%),49.0 (2.48%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
karpov.courses,17318,2025-01-16 18:39:40,9215,4036.0 (43.8%),687.0 (7.46%),315.0 (3.42%),345.0 (3.74%),354.0 (3.84%),1637.0 (17.76%),286.0 (3.1%),443.0 (4.81%),230.0 (2.5%),83.0 (0.9%),275.0 (2.98%),272.0 (2.95%),181.0 (1.96%),71.0 (0.77%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Клуб анонимных аналитиков,17322,2025-01-16 18:35:44,7735,2530.0 (32.71%),650.0 (8.4%),236.0 (3.05%),362.0 (4.68%),1578.0 (20.4%),216.0 (2.79%),145.0 (1.87%),446.0 (5.77%),259.0 (3.35%),105.0 (1.36%),344.0 (4.45%),357.0 (4.62%),326.0 (4.21%),181.0 (2.34%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Дизраптор,17321,2025-01-16 17:28:18,16363,8306.0 (50.76%),1508.0 (9.22%),965.0 (5.9%),870.0 (5.32%),1229.0 (7.51%),495.0 (3.03%),1352.0 (8.26%),466.0 (2.85%),208.0 (1.27%),272.0 (1.66%),215.0 (1.31%),283.0 (1.73%),157.0 (0.96%),37.0 (0.23%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17320,2025-01-16 17:05:00,3561,1783.0 (50.07%),447.0 (12.55%),196.0 (5.5%),269.0 (7.55%),260.0 (7.3%),165.0 (4.63%),128.0 (3.59%),57.0 (1.6%),34.0 (0.95%),18.0 (0.51%),75.0 (2.11%),65.0 (1.83%),47.0 (1.32%),17.0 (0.48%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
настенька и графики,17319,2025-01-16 16:43:34,7206,2931.0 (40.67%),325.0 (4.51%),169.0 (2.35%),1562.0 (21.68%),300.0 (4.16%),613.0 (8.51%),127.0 (1.76%),277.0 (3.84%),95.0 (1.32%),189.0 (2.62%),286.0 (3.97%),165.0 (2.29%),115.0 (1.6%),52.0 (0.72%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17315,2025-01-16 14:04:17,3531,1678.0 (47.52%),428.0 (12.12%),277.0 (7.84%),197.0 (5.58%),329.0 (9.32%),102.0 (2.89%),323.0 (9.15%),108.0 (3.06%),58.0 (1.64%),20.0 (0.57%),11.0 (0.31%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Фичизм,17314,2025-01-16 13:28:57,9045,4515.0 (49.92%),740.0 (8.18%),438.0 (4.84%),886.0 (9.8%),581.0 (6.42%),254.0 (2.81%),202.0 (2.23%),703.0 (7.77%),119.0 (1.32%),198.0 (2.19%),116.0 (1.28%),128.0 (1.42%),123.0 (1.36%),42.0 (0.46%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Data Science. SQL hub,17313,2025-01-16 12:45:13,5778,2395.0 (41.45%),473.0 (8.19%),811.0 (14.04%),622.0 (10.76%),277.0 (4.79%),137.0 (2.37%),84.0 (1.45%),89.0 (1.54%),200.0 (3.46%),77.0 (1.33%),260.0 (4.5%),244.0 (4.22%),73.0 (1.26%),36.0 (0.62%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Datalytics,17316,2025-01-16 12:36:42,1572,713.0 (45.36%),157.0 (9.99%),39.0 (2.48%),46.0 (2.93%),34.0 (2.16%),39.0 (2.48%),216.0 (13.74%),38.0 (2.42%),67.0 (4.26%),20.0 (1.27%),22.0 (1.4%),137.0 (8.72%),39.0 (2.48%),5.0 (0.32%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
LEFT JOIN,17311,2025-01-16 10:42:22,11752,6479.0 (55.13%),3485.0 (29.65%),425.0 (3.62%),131.0 (1.11%),339.0 (2.88%),210.0 (1.79%),113.0 (0.96%),214.0 (1.82%),89.0 (0.76%),35.0 (0.3%),26.0 (0.22%),71.0 (0.6%),80.0 (0.68%),55.0 (0.47%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Дизраптор,17312,2025-01-16 09:12:42,16583,8836.0 (53.28%),1205.0 (7.27%),960.0 (5.79%),1107.0 (6.68%),1300.0 (7.84%),400.0 (2.41%),1162.0 (7.01%),411.0 (2.48%),123.0 (0.74%),245.0 (1.48%),237.0 (1.43%),268.0 (1.62%),219.0 (1.32%),110.0 (0.66%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Simulative,17310,2025-01-16 08:50:06,1864,974.0 (52.25%),142.0 (7.62%),31.0 (1.66%),52.0 (2.79%),74.0 (3.97%),112.0 (6.01%),78.0 (4.18%),90.0 (4.83%),56.0 (3.0%),37.0 (1.98%),21.0 (1.13%),39.0 (2.09%),108.0 (5.79%),50.0 (2.68%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Детектив данных 🕵️,17309,2025-01-15 23:19:19,1357,546.0 (40.24%),48.0 (3.54%),23.0 (1.69%),40.0 (2.95%),25.0 (1.84%),23.0 (1.69%),20.0 (1.47%),18.0 (1.33%),11.0 (0.81%),311.0 (22.92%),50.0 (3.68%),39.0 (2.87%),169.0 (12.45%),30.0 (2.21%),4.0 (0.29%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Клуб анонимных аналитиков,17307,2025-01-15 18:17:35,6894,2599.0 (37.7%),779.0 (11.3%),338.0 (4.9%),239.0 (3.47%),261.0 (3.79%),992.0 (14.39%),218.0 (3.16%),134.0 (1.94%),322.0 (4.67%),214.0 (3.1%),90.0 (1.31%),223.0 (3.23%),183.0 (2.65%),155.0 (2.25%),147.0 (2.13%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17306,2025-01-15 18:05:00,3544,1743.0 (49.18%),351.0 (9.9%),260.0 (7.34%),123.0 (3.47%),284.0 (8.01%),231.0 (6.52%),203.0 (5.73%),86.0 (2.43%),42.0 (1.19%),37.0 (1.04%),14.0 (0.4%),59.0 (1.66%),55.0 (1.55%),40.0 (1.13%),16.0 (0.45%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Инжиниринг Данных,17305,2025-01-15 18:03:00,7830,3641.0 (46.5%),993.0 (12.68%),347.0 (4.43%),173.0 (2.21%),189.0 (2.41%),119.0 (1.52%),1047.0 (13.37%),392.0 (5.01%),262.0 (3.35%),139.0 (1.78%),58.0 (0.74%),194.0 (2.48%),155.0 (1.98%),78.0 (1.0%),43.0 (0.55%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
настенька и графики,17302,2025-01-15 16:56:13,6885,3065.0 (44.52%),865.0 (12.56%),173.0 (2.51%),154.0 (2.24%),992.0 (14.41%),184.0 (2.67%),391.0 (5.68%),98.0 (1.42%),184.0 (2.67%),80.0 (1.16%),153.0 (2.22%),246.0 (3.57%),119.0 (1.73%),99.0 (1.44%),82.0 (1.19%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Datalytics,17308,2025-01-15 16:32:42,1597,879.0 (55.04%),113.0 (7.08%),78.0 (4.88%),33.0 (2.07%),37.0 (2.32%),17.0 (1.06%),113.0 (7.08%),40.0 (2.5%),59.0 (3.69%),31.0 (1.94%),14.0 (0.88%),18.0 (1.13%),143.0 (8.95%),19.0 (1.19%),3.0 (0.19%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17296,2025-01-15 15:05:57,3438,1744.0 (50.73%),399.0 (11.61%),185.0 (5.38%),230.0 (6.69%),139.0 (4.04%),152.0 (4.42%),296.0 (8.61%),131.0 (3.81%),70.0 (2.04%),51.0 (1.48%),31.0 (0.9%),10.0 (0.29%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Simulative,17294,2025-01-15 13:50:14,1843,883.0 (47.91%),222.0 (12.05%),60.0 (3.26%),30.0 (1.63%),61.0 (3.31%),47.0 (2.55%),109.0 (5.91%),88.0 (4.77%),33.0 (1.79%),20.0 (1.09%),52.0 (2.82%),19.0 (1.03%),135.0 (7.33%),41.0 (2.22%),43.0 (2.33%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Дизраптор,17297,2025-01-15 12:46:21,16341,7824.0 (47.88%),1839.0 (11.25%),646.0 (3.95%),820.0 (5.02%),1156.0 (7.07%),816.0 (4.99%),937.0 (5.73%),770.0 (4.71%),350.0 (2.14%),200.0 (1.22%),308.0 (1.88%),187.0 (1.14%),229.0 (1.4%),211.0 (1.29%),48.0 (0.29%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
No Data No Growth | Pavel Bukhtik,17295,2025-01-15 12:06:29,4696,2094.0 (44.59%),356.0 (7.58%),156.0 (3.32%),135.0 (2.87%),130.0 (2.77%),532.0 (11.33%),407.0 (8.67%),283.0 (6.03%),150.0 (3.19%),47.0 (1.0%),57.0 (1.21%),44.0 (0.94%),37.0 (0.79%),140.0 (2.98%),128.0 (2.73%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Фичизм,17291,2025-01-15 10:50:10,8768,3708.0 (42.29%),1272.0 (14.51%),588.0 (6.71%),193.0 (2.2%),574.0 (6.55%),600.0 (6.84%),218.0 (2.49%),137.0 (1.56%),801.0 (9.14%),109.0 (1.24%),174.0 (1.98%),99.0 (1.13%),103.0 (1.17%),106.0 (1.21%),86.0 (0.98%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Дизраптор,17293,2025-01-15 10:18:50,14879,7155.0 (48.09%),2285.0 (15.36%),694.0 (4.66%),1039.0 (6.98%),1173.0 (7.88%),684.0 (4.6%),253.0 (1.7%),423.0 (2.84%),213.0 (1.43%),144.0 (0.97%),182.0 (1.22%),149.0 (1.0%),190.0 (1.28%),179.0 (1.2%),116.0 (0.78%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
LEFT JOIN,17289,2025-01-15 09:42:56,13521,3275.0 (24.22%),8190.0 (60.57%),251.0 (1.86%),358.0 (2.65%),86.0 (0.64%),151.0 (1.12%),257.0 (1.9%),173.0 (1.28%),98.0 (0.72%),72.0 (0.53%),24.0 (0.18%),21.0 (0.16%),60.0 (0.44%),324.0 (2.4%),181.0 (1.34%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
LEFT JOIN,17290,2025-01-15 09:42:41,14426,3604.0 (24.98%),8645.0 (59.93%),297.0 (2.06%),374.0 (2.59%),116.0 (0.8%),237.0 (1.64%),234.0 (1.62%),113.0 (0.78%),98.0 (0.68%),77.0 (0.53%),46.0 (0.32%),59.0 (0.41%),337.0 (2.34%),122.0 (0.85%),67.0 (0.46%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
data.csv,17292,2025-01-15 09:38:02,3456,1361.0 (39.38%),163.0 (4.72%),363.0 (10.5%),526.0 (15.22%),137.0 (3.96%),89.0 (2.58%),344.0 (9.95%),173.0 (5.01%),146.0 (4.22%),37.0 (1.07%),27.0 (0.78%),27.0 (0.78%),22.0 (0.64%),27.0 (0.78%),14.0 (0.41%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Noukash,17541,2025-01-15 07:10:23,6907,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),6777.0 (98.12%),80.0 (1.16%),50.0 (0.72%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Noukash life,17288,2025-01-15 07:10:23,6772,2944.0 (43.47%),549.0 (8.11%),723.0 (10.68%),275.0 (4.06%),145.0 (2.14%),144.0 (2.13%),766.0 (11.31%),249.0 (3.68%),79.0 (1.17%),104.0 (1.54%),332.0 (4.9%),286.0 (4.22%),176.0 (2.6%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Noukash life,17285,2025-01-15 01:29:03,6446,3513.0 (54.5%),199.0 (3.09%),652.0 (10.11%),134.0 (2.08%),78.0 (1.21%),88.0 (1.37%),192.0 (2.98%),114.0 (1.77%),39.0 (0.61%),77.0 (1.19%),363.0 (5.63%),501.0 (7.77%),496.0 (7.69%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Noukash,17542,2025-01-15 01:29:03,6685,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),6587.0 (98.53%),98.0 (1.47%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Время Валеры,17284,2025-01-15 01:22:49,16911,8642.0 (51.1%),1182.0 (6.99%),1397.0 (8.26%),1275.0 (7.54%),913.0 (5.4%),313.0 (1.85%),175.0 (1.03%),1566.0 (9.26%),449.0 (2.66%),154.0 (0.91%),264.0 (1.56%),201.0 (1.19%),235.0 (1.39%),80.0 (0.47%),65.0 (0.38%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17283,2025-01-14 20:05:02,3545,1943.0 (54.81%),313.0 (8.83%),118.0 (3.33%),296.0 (8.35%),136.0 (3.84%),223.0 (6.29%),173.0 (4.88%),74.0 (2.09%),65.0 (1.83%),36.0 (1.02%),32.0 (0.9%),16.0 (0.45%),54.0 (1.52%),31.0 (0.87%),27.0 (0.76%),8.0 (0.23%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Simulative,17277,2025-01-14 18:00:01,1928,947.0 (49.12%),181.0 (9.39%),116.0 (6.02%),47.0 (2.44%),22.0 (1.14%),52.0 (2.7%),66.0 (3.42%),117.0 (6.07%),35.0 (1.82%),39.0 (2.02%),37.0 (1.92%),169.0 (8.77%),36.0 (1.87%),20.0 (1.04%),34.0 (1.76%),10.0 (0.52%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
настенька и графики,17279,2025-01-14 17:58:52,7862,3301.0 (41.99%),1009.0 (12.83%),473.0 (6.02%),184.0 (2.34%),157.0 (2.0%),794.0 (10.1%),164.0 (2.09%),538.0 (6.84%),108.0 (1.37%),170.0 (2.16%),84.0 (1.07%),283.0 (3.6%),265.0 (3.37%),125.0 (1.59%),135.0 (1.72%),72.0 (0.92%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
"Секреты аналитики | Data Science, BI, Tableau",17282,2025-01-14 17:00:06,3240,1819.0 (56.14%),328.0 (10.12%),171.0 (5.28%),173.0 (5.34%),107.0 (3.3%),135.0 (4.17%),264.0 (8.15%),101.0 (3.12%),53.0 (1.64%),50.0 (1.54%),26.0 (0.8%),12.0 (0.37%),1.0 (0.03%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
LEFT JOIN,17278,2025-01-14 16:52:09,13344,10621.0 (79.59%),1117.0 (8.37%),156.0 (1.17%),199.0 (1.49%),261.0 (1.96%),127.0 (0.95%),133.0 (1.0%),100.0 (0.75%),66.0 (0.49%),220.0 (1.65%),102.0 (0.76%),31.0 (0.23%),39.0 (0.29%),101.0 (0.76%),39.0 (0.29%),32.0 (0.24%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
data.csv,17280,2025-01-14 16:47:02,5621,2883.0 (51.29%),319.0 (5.68%),332.0 (5.91%),220.0 (3.91%),569.0 (10.12%),162.0 (2.88%),316.0 (5.62%),184.0 (3.27%),192.0 (3.42%),111.0 (1.97%),93.0 (1.65%),47.0 (0.84%),72.0 (1.28%),54.0 (0.96%),54.0 (0.96%),13.0 (0.23%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
Глеб Михайлов,17281,2025-01-14 16:20:20,7998,2785.0 (34.82%),249.0 (3.11%),148.0 (1.85%),137.0 (1.71%),1486.0 (18.58%),500.0 (6.25%),170.0 (2.13%),101.0 (1.26%),90.0 (1.13%),1109.0 (13.87%),101.0 (1.26%),68.0 (0.85%),56.0 (0.7%),251.0 (3.14%),709.0 (8.86%),38.0 (0.48%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
